id,nombre,id_ciudad,direccion,telefono,estado,id_consultor_mac,id_almacenista_mac,id_secretaria_mac,id_jefe_mac,id_user_mac,id_torre_mac,codigo_distribuidor,codigo_instalador,numero_contrato_inicial,numero_contrato_final,meta_prepago,meta_postpago,tipo_sede,id_sede_padre,sub_canal
273,SUPERMERCADO BOOM CENTRAL MAYORISTA,59,CENTRAL MAYORISTA BLOQUE 25  LOC 23,3401222,Inactiva,0,0,0,0,576,0,7944,I004213,,,0,0,Secundaria,14,
274,CENTRO COMERCIAL MONTERREY,1,CR 48 # 10 - 45,3401222,Inactiva,0,0,0,0,576,0,7945,I004213,,,0,0,Secundaria,14,
275,SUB SERVIMERCADEO CHINCHINÁ,323,CALLE 10 NO 6-30,3401222,Inactiva,0,0,0,0,37,0,7973,I004219,,,0,0,Secundaria,4,
276,SUB POPAYÁN LEIDY COLLAZOS,361,CARRERA 11A # 1A-02,3401222,Inactiva,0,0,0,0,576,0,7949,I004283,,,0,0,Secundaria,7,
277,CALL CENTER SERVIMERCADEO ORIENTE,798,AV 5 # 5 - 50,3401222,Inactiva,0,0,0,0,576,0,8010,I004476,,,0,0,Secundaria,19,
278,PAT LA 14,126,CRA 14 NO. 45,3401222,Inactiva,0,0,0,0,35,0,8117,I004271,,,0,0,Secundaria,9,Pat dealer
279,SUB CONCORDIA MULTISERVICIOS,38,CR 18 # 17 - 11,3401222,Inactiva,0,0,0,0,576,0,12210,I004213,,,0,0,Secundaria,14,
280,TECNICO EXPRESS ASESOR SANTA BARBARA,101,CL 52 # 50 - 19,3401222,Inactiva,0,0,0,0,576,0,8148,I004213,,,0,0,Secundaria,14,
281,SERVICIOS OPORTUNOS SYM,849,"KR 36 C - CASA N 28, BARRIO LA TORA, BARRANCA",3401222,Inactiva,0,0,0,0,576,0,12464,I004552,,,0,0,Secundaria,20,
282,SUBAGENTE CAUCASIA ANGELA,35,CRA 9 N 22-42 B/ KENNEDY,3401222,Inactiva,0,0,0,0,576,0,12229,I004213,,,0,0,Secundaria,14,
283,SERVIMERCADEO FREE LANCE PEREIRA,829,CRA 9BIS # 29 - 68 CC SAN ANDRESITO,3401222,Inactiva,0,0,0,0,576,0,12453,I004174,,,0,0,Secundaria,1,
284,TECNICO EXPRESS ASESOR RIONEGRO II,85,RIONEGRO,3401222,Inactiva,0,0,0,0,35,0,8147,,,,0,0,Secundaria,12,
285,CALL CENTER SERVIMERCADEO MEDELLIN,1,MEDELLIN,3401222,Inactiva,0,0,0,0,576,0,18133,I004213,,,0,0,Secundaria,14,
286,DOCTOR HOUSE ELECTRONICS,139,CALLE 7B # 2-17 ,3401222,Inactiva,0,0,0,0,576,0,19080,I004271,,,0,0,Secundaria,9,
287,PUTUMAYO - PUERTO LEGUISAMO,1077,CRA 1 CALLE 2,,Inactiva,0,0,0,0,338,0,-,I004756,,,0,0,Secundaria,8,
288,SERVIMERCADEO CALL CENTER BUCARAMANGA,843,BUCARAMANGA,3401222,Inactiva,0,0,0,0,35,0,25390,I004393,,,0,0,Secundaria,17,Call center
289,SUB AGENTE CHINU,433,CHINU,3401222,Inactiva,0,0,0,0,35,0,7712,I004412,,,0,0,Secundaria,11,
290,MOVILSHOP,777,CUCUTA,3401222,Inactiva,0,0,0,0,35,0,25429,I004476 ,,,0,0,Secundaria,19,
291,SERVIMERCADEO CC MALL PLAZA,318,MANIZALES,3401222,Inactiva,0,0,0,0,35,0,19048,I004219,,,0,0,Secundaria,4,
292,SERVIMERCADEO TULUA 2,1038,TULUA,30010020010,Inactiva,0,0,0,0,338,0,25505,I004283,,,0,0,Secundaria,2,Otros
293,SERVIMERCADEO TUMACO,774,CALLE 14 # 9 B-232 FRENTE A MERCA Z ,,Activa,1201,0,0,0,338,0,t001,,,,0,0,Principal,0,Otros
294,DISTRICOLOMBIA,1009,BUENAVENTURA,,Inactiva,0,0,0,0,35,0,25565,I004283,,,0,0,Secundaria,2,Subagente
295,ALIANZA EXITO LAURELES,1,MEDELLIN,3401222,Inactiva,0,0,0,0,35,0,25442,,,,0,0,Secundaria,14,Stand dealer
296,ADMINISTRACION CENTRAL,829,CARRERA 12 # 3 - 49,3178936309,Inactiva,0,0,0,0,338,0,025,025,,,0,0,Secundaria,1,Otros
297,MULTIMARCAS,777,CUCUTA,3401222,Inactiva,0,0,0,0,35,0,32379,,,,0,0,Secundaria,19,Subagente
298,SERVIMERCADEO BUENAVENTURA,1009,CLL 5 # 5B-30 SAN ANDRESITO,312154878,Inactiva,0,0,0,0,338,0,BV001,I005075,,,0,0,Principal,0,Otros
299,COMERCIAL CENTRAL,829,CRA 12 3-49,3401222,Inactiva,0,0,0,0,1215,0,c001,c0001,,,0,0,Principal,0,Otros
300,OPERACIONES CENTRAL,829,CRA 12 3-49,3401222,Inactiva,0,0,0,0,1215,0,c002,c0002,,,0,0,Principal,0,Otros
301,CONTACT CENTER CENTRAL,829,CARRERA 12 # 3 - 49,,Inactiva,0,0,0,0,338,0,cc01,,,,0,0,Principal,0,Otros
302,SERVIMERCADEO CALL CENTER CUCUTA,777,CUCUTA,3401222,Inactiva,0,0,0,0,35,0,33160,I004476,,,0,0,Secundaria,19,Call center
303,SERVIMERCADEO SINCELEJO,930,CLL 12A 10E-09B/ CEVILLA,0000,Inactiva,1322,0,0,0,338,0,SJ001,I005115,,,0,0,Principal,0,Otros
304,JYS PIENDAMO,386,PIENDAMO,3401222,Inactiva,0,0,0,0,35,0,33135,I004324,,,0,0,Secundaria,7,Subagente
